Обращающиеся контракты - договора аренды,    лицензии - всего;Маркетинговые активы;Приобретенный гудвилл (деловая репутация организации)
236 515;52 131;12 783
218 637;44 710;19 107
337 843;74 839;18 810
408 106;134 243;21 930
532 361;86 729;24 131
617 181;280 476;25 758
446 346;189 132;25 682
526 643;183 002;85 008
