region_id,region,W1_2014,W1_2015,W1_2016,W2_2014,W2_2015,W2_2016,W3_2014,W3_2015,W3_2016,W4_2014,W4_2015,W4_2016,W5_2014,W5_2015,W5_2016,W6_2014,W6_2015,W6_2016,W7_2014,W7_2015,W7_2016,W8_2014,W8_2015,W8_2016,W9_2014,W9_2015,W9_2016,W10_2014,W10_2015,W10_2016
59,Пермский край,87,55,87,1,83,81,1,46,1,37,1,52,11,4,10,5,9,5,2,75,2,52,2,29,1,2,1,22,1,28
60,Псковская область,82,99,80,5,78,63,0,81,0,63,0,59,72,3,31,9,20,3,2,46,2,22,2,0,14,0,25,0,3,72
61,Ростовская область,82,65,80,3,77,97,1,62,1,77,1,68,16,9,18,3,15,9,4,5,3,52,3,28,1,46,1,15,1,8
62,Рязанская область,84,11,82,21,78,53,1,8,1,19,1,68,24,4,18,2,16,9,3,39,3,15,2,93,0,5,0,68,0,6
63,Самарская область,87,97,87,94,85,92,1,44,1,72,1,38,11,8,10,4,14,2,3,71,3,46,3,21,1,27,1,37,0,93
64,Саратовская область,82,26,82,49,81,11,0,86,0,92,0,77,16,9,17,9,17,1,3,64,3,4,3,23,0,58,0,57,0,67
65,Сахалинская область,78,48,76,45,74,66,0,1,0,27,0,25,15,2,6,6,3,7,1,95,1,82,1,51,0,15,0,17,0,15
66,Свердловская область,87,35,88,18,85,88,1,25,1,21,1,27,5,5,7,8,7,3,38,3,13,2,8,1,58,1,44,1,5,59
67,Смоленская область,81,28,79,25,76,46,0,61,0,61,0,4,7,6,12,4,12,2,3,48,2,73,2,54,0,45,0,52,0,54
68,Тамбовская область,82,61,81,88,80,47,0,88,0,7,1,1,9,5,13,1,23,1,3,12,2,78,2,86,0,8,0,69,0,54
69,Тверская область,82,2,80,82,79,27,1,6,1,21,1,1,5,9,5,5,5,6,2,58,2,24,1,99,1,31,1,42,1,33
70,Томская область,87,94,86,81,83,49,3,32,3,72,3,25,39,7,35,5,32,6,6,6,5,9,5,54,2,25,2,47,2,42
71,Тульская область,84,41,82,49,77,4,1,11,1,23,1,32,6,8,4,9,4,3,2,59,2,32,2,17,0,75,0,88,1,8
72,Тюменская область,93,59,90,76,89,99,1,6,1,29,1,11,10,8,8,8,7,4,4,94,4,49,4,11,0,96,1,24,1,21
73,Ульяновская область,84,74,84,6,83,84,1,54,2,1,61,5,4,1,3,8,3,36,3,12,2,94,3,15,2,92,2,67,27,5
74,Челябинская область,75,44,75,8,77,9,0,86,0,88,0,83,5,4,4,5,6,3,57,3,15,2,89,1,19,1,22,1,55,84
75,Забайкальский край,69,31,69,39,66,86,0,35,0,34,0,24,27,3,31,8,20,6,2,77,2,49,2,27,0,18,0,15,0,13
76,Ярославская область,88,4,85,62,81,99,1,31,1,8,1,29,17,4,5,7,4,1,3,11,2,92,2,66,1,38,1,53,1,86
77,Москва,93,42,96,7,91,9,6,2,10,28,7,14,11,10,8,10,6,6,6,6,16,5,95,2,33,2,39,2,31,75
78,Санкт-Петербург,93,3,91,1,91,29,3,16,3,32,3,84,10,1,9,9,9,8,6,11,5,8,5,56,3,84,3,24,3,6
79,Еврейская автономная область,76,24,76,41,74,27,0,77,1,2,1,64,48,3,38,3,43,2,36,1,9,1,41,0,23,0,17,0,17,83
83,Hенецкий автономный округ,81,38,79,86,77,37,0,0,0,23,0,0,0,0,0,0,0,4,0,3,0,2,87,8,88,90,6,12,2,12
86,Ханты-Мансийский автономный округ-Югра,79,96,78,3,75,47,0,3,0,23,0,25,14,8,11,9,8,6,2,14,1,68,1,55,0,1,0,9,0,9
87,Чукотский автономный округ,78,58,75,91,76,96,0,0,0,2,0,2,7,1,8,0,95,0,92,0,58,0,7,0,6,0,6,86,8,90
89,Ямало-Ненецкий автономный округ,73,2,71,45,68,13,0,48,0,6,0,65,0,0,0,1,4,0,49,0,29,0,1,0,1,0,1,99,5,99
90,Республика Крым ,0,99,91,97,84,0,14,0,3,0,3,9,1,10,5,8,2,2,2,2,38,2,27,0,27,0,46,0,45,78
91,Севастополь ,0,107,62,96,12,0,55,1,18,2,17,0,11,8,7,3,3,94,3,64,3,26,0,89,1,34,1,2,89,95
