"","AdmArea","Month","Year","TotalAmount"
"105","Северо-Западный административный округ","Декабрь",2016,1083698401
"106","Зеленоградский административный округ","Декабрь",2016,354678314
"107","Новомосковский административный округ","Декабрь",2016,200498713
"108","Троицкий административный округ","Декабрь",2016,79458629
"109","Центральный административный округ","Январь",2017,1103915545.5
"110","Северный административный округ","Январь",2017,1519741507.48
"111","Северо-Восточный административный округ","Январь",2017,1702709353.42
"112","Восточный административный округ","Январь",2017,1915524450.69
"113","Юго-Восточный административный округ","Январь",2017,1784142915.87
"114","Южный административный округ","Январь",2017,2013104457.38
"115","Юго-Западный административный округ","Январь",2017,1837763557.34
"116","Западный административный округ","Январь",2017,1500949980.18
"117","Северо-Западный административный округ","Январь",2017,1109538110.97
"118","Зеленоградский административный округ","Январь",2017,354734965.34
"119","Новомосковский административный округ","Январь",2017,197250308.5
"120","Троицкий административный округ","Январь",2017,84701070.28
"121","Центральный административный округ","Февраль",2017,1129023935.08
"122","Северный административный округ","Февраль",2017,1602594629
"123","Северо-Восточный административный округ","Февраль",2017,1830053108.39
"124","Восточный административный округ","Февраль",2017,2048272135.71
"125","Юго-Восточный административный округ","Февраль",2017,1939248442.77
"126","Южный административный округ","Февраль",2017,2118182742.97
"127","Юго-Западный административный округ","Февраль",2017,1988362478.96
"128","Западный административный округ","Февраль",2017,1612242419.26
"129","Северо-Западный административный округ","Февраль",2017,1181947947.51
"130","Зеленоградский административный округ","Февраль",2017,391736625.74
"131","Новомосковский административный округ","Февраль",2017,184551646.1
"132","Троицкий административный округ","Февраль",2017,85639635.02
"133","Центральный административный округ","Март",2017,1111853811.94
"134","Северный административный округ","Март",2017,1556592806.34
"135","Северо-Восточный административный округ","Март",2017,1767286992.79
"136","Восточный административный округ","Март",2017,1983749367.58
"137","Юго-Восточный административный округ","Март",2017,1862179109.23
"138","Южный административный округ","Март",2017,2061539998.25
"139","Юго-Западный административный округ","Март",2017,1902116771.12
"140","Западный административный округ","Март",2017,1566143412.81
"141","Северо-Западный административный округ","Март",2017,1140745813.25
"142","Зеленоградский административный округ","Март",2017,364278791.63
"143","Новомосковский административный округ","Март",2017,184085464.56
"144","Троицкий административный округ","Март",2017,83765315.95
"145","Центральный административный округ","Апрель",2017,1115320815.67
"146","Северный административный округ","Апрель",2017,1565914257.71
"147","Северо-Восточный административный округ","Апрель",2017,1760543566.49
"148","Восточный административный округ","Апрель",2017,1962801541.04
"149","Юго-Восточный административный округ","Апрель",2017,1891634093.84
"150","Южный административный округ","Апрель",2017,2049505221.08
"151","Юго-Западный административный округ","Апрель",2017,1893320248.98
"152","Западный административный округ","Апрель",2017,1561548332.34
"153","Северо-Западный административный округ","Апрель",2017,1139394713.31
"154","Зеленоградский административный округ","Апрель",2017,361561082.06
"155","Новомосковский административный округ","Апрель",2017,182487007.17
"156","Троицкий административный округ","Апрель",2017,78910739.31
"157","Центральный административный округ","Май",2017,56222516.13
"158","Северный административный округ","Май",2017,1549536326.29
"159","Северо-Восточный административный округ","Май",2017,1773574570.16
"160","Восточный административный округ","Май",2017,1551117859.57
"161","Юго-Восточный административный округ","Май",2017,1551117859.57
"162","Южный административный округ","Май",2017,2055586780.58
"163","Юго-Западный административный округ","Май",2017,1903266948.33
"164","Западный административный округ","Май",2017,1551117859.57
"165","Северо-Западный административный округ","Май",2017,1138149599.18
"166","Зеленоградский административный округ","Май",2017,376301365.53
"167","Новомосковский административный округ","Май",2017,165598679.36
"168","Троицкий административный округ","Май",2017,72340939.08
"169","Центральный административный округ","Июнь",2017,1131309445.43
"170","Северный административный округ","Июнь",2017,1543550433.92
"171","Северо-Восточный административный округ","Июнь",2017,1762663605.91
"172","Восточный административный округ","Июнь",2017,1551117859.57
"173","Юго-Восточный административный округ","Июнь",2017,1551117859.57
"174","Южный административный округ","Июнь",2017,2050001331.2
"175","Юго-Западный административный округ","Июнь",2017,1908293173.76
"176","Западный административный округ","Июнь",2017,1549402637.65
"177","Северо-Западный административный округ","Июнь",2017,1130643030.02
"178","Зеленоградский административный округ","Июнь",2017,369272728.49
"179","Новомосковский административный округ","Июнь",2017,167198204.73
"180","Троицкий административный округ","Июнь",2017,60588746.8
"181","Центральный административный округ","Июль",2017,1197215543.72
"182","Северный административный округ","Июль",2017,1625745927.23
"183","Северо-Восточный административный округ","Июль",2017,1851765323.55
"184","Восточный административный округ","Июль",2017,2079495977.31
"185","Юго-Восточный административный округ","Июль",2017,1957232637.67
"186","Южный административный округ","Июль",2017,2163874800.22
"187","Юго-Западный административный округ","Июль",2017,2015363839.59
"188","Западный административный округ","Июль",2017,1632655140.07
"189","Северо-Западный административный округ","Июль",2017,1200658638.52
"190","Зеленоградский административный округ","Июль",2017,386292300.52
"191","Новомосковский административный округ","Июль",2017,169374095.61
"192","Троицкий административный округ","Июль",2017,73339587.41
"193","Центральный административный округ","Июль",2018,1231668213.78
"194","Северный административный округ","Июль",2018,1626617950.07
